user_id,timestamp,action,metadata
user_1,2025-06-03T00:14:00,proposal_edit,"{""proposal_length"": 695}"
user_1,2025-06-03T00:49:00,drop_off,"{""reason"": ""too_complicated""}"
user_1,2025-06-03T01:15:00,deal_closed,"{""deal_value"": 16495}"
user_1,2025-06-03T02:26:00,message_sent,"{""message_length"": 107}"
user_1,2025-06-03T03:36:00,proposal_create,"{""proposal_length"": 639}"
user_1,2025-06-03T04:07:00,proposal_edit,"{""proposal_length"": 1156}"
user_2,2025-06-01T01:01:00,drop_off,"{""reason"": ""too_complicated""}"
user_2,2025-06-01T01:43:00,proposal_create,"{""proposal_length"": 817}"
user_2,2025-06-01T02:59:00,drop_off,"{""reason"": ""too_complicated""}"
user_2,2025-06-01T04:19:00,proposal_edit,"{""proposal_length"": 620}"
user_2,2025-06-01T05:36:00,proposal_send,"{""proposal_length"": 934}"
user_2,2025-06-01T06:06:00,proposal_edit,"{""proposal_length"": 932}"
user_2,2025-06-01T07:15:00,proposal_send,"{""proposal_length"": 907}"
user_3,2025-06-01T01:23:00,feature_use,"{""feature_name"": ""progress_tracker"", ""duration"": 3.21}"
user_3,2025-06-01T02:19:00,drop_off,"{""reason"": ""unclear_terms""}"
user_3,2025-06-01T02:38:00,message_sent,"{""message_length"": 167}"
user_3,2025-06-01T03:42:00,proposal_create,"{""proposal_length"": 622}"
user_3,2025-06-01T04:48:00,proposal_create,"{""proposal_length"": 624}"
user_3,2025-06-01T06:15:00,proposal_edit,"{""proposal_length"": 768}"
user_3,2025-06-01T06:54:00,drop_off,"{""reason"": ""lost_interest""}"
user_4,2025-06-03T01:08:00,proposal_edit,"{""proposal_length"": 1381}"
user_4,2025-06-03T01:24:00,proposal_send,"{""proposal_length"": 1079}"
user_4,2025-06-03T01:47:00,message_sent,"{""message_length"": 33}"
user_4,2025-06-03T02:47:00,deal_closed,"{""deal_value"": 43330}"
user_4,2025-06-03T03:35:00,proposal_create,"{""proposal_length"": 721}"
user_4,2025-06-03T04:25:00,proposal_send,"{""proposal_length"": 1034}"
user_4,2025-06-03T05:55:00,message_sent,"{""message_length"": 43}"
