user_id,timestamp,action,metadata
user_AI_008,2024-05-01T14:34:00,proposal_view,"{""proposal_id"": ""P883"", ""duration_seconds"": 219}"
user_AI_017,2024-05-02T04:08:00,proposal_create,"{""proposal_id"": ""P615"", ""type"": ""loan"", ""value"": 53415}"
user_AI_003,2024-05-02T07:43:00,proposal_create,"{""proposal_id"": ""P271"", ""type"": ""equity"", ""value"": 69166}"
user_AI_002,2024-05-01T16:53:00,proposal_create,"{""proposal_id"": ""P715"", ""type"": ""loan"", ""value"": 11813}"
user_AI_020,2024-05-02T07:11:00,proposal_close,"{""proposal_id"": ""P347"", ""status"": ""accepted""}"
user_AI_010,2024-05-02T08:44:00,proposal_close,"{""proposal_id"": ""P852"", ""status"": ""rejected""}"
user_AI_022,2024-05-02T08:49:00,proposal_create,"{""proposal_id"": ""P951"", ""type"": ""loan"", ""value"": 19031}"
user_AI_037,2024-05-02T02:47:00,proposal_view,"{""proposal_id"": ""P847"", ""duration_seconds"": 211}"
user_AI_039,2024-05-02T05:19:00,proposal_view,"{""proposal_id"": ""P802"", ""duration_seconds"": 141}"
user_AI_008,2024-05-02T08:35:00,proposal_view,"{""proposal_id"": ""P310"", ""duration_seconds"": 78}"
user_AI_034,2024-05-02T08:55:00,proposal_view,"{""proposal_id"": ""P426"", ""duration_seconds"": 38}"
user_AI_008,2024-05-02T07:14:00,proposal_create,"{""proposal_id"": ""P317"", ""type"": ""loan"", ""value"": 80398}"
user_AI_019,2024-05-02T04:47:00,proposal_view,"{""proposal_id"": ""P904"", ""duration_seconds"": 158}"
user_AI_040,2024-05-02T02:22:00,proposal_view,"{""proposal_id"": ""P703"", ""duration_seconds"": 227}"
user_AI_007,2024-05-01T15:39:00,proposal_view,"{""proposal_id"": ""P443"", ""duration_seconds"": 57}"
user_AI_022,2024-05-01T21:39:00,proposal_create,"{""proposal_id"": ""P919"", ""type"": ""equity"", ""value"": 92822}"
user_AI_002,2024-05-02T01:52:00,proposal_create,"{""proposal_id"": ""P671"", ""type"": ""equity"", ""value"": 50259}"
user_AI_038,2024-05-01T14:55:00,proposal_create,"{""proposal_id"": ""P774"", ""type"": ""loan"", ""value"": 56708}"
user_AI_044,2024-05-01T19:02:00,proposal_create,"{""proposal_id"": ""P334"", ""type"": ""equity"", ""value"": 30572}"
user_AI_026,2024-05-01T22:06:00,proposal_create,"{""proposal_id"": ""P195"", ""type"": ""loan"", ""value"": 20542}"
user_AI_041,2024-05-01T21:59:00,proposal_create,"{""proposal_id"": ""P318"", ""type"": ""loan"", ""value"": 19615}"
user_AI_050,2024-05-02T03:42:00,proposal_close,"{""proposal_id"": ""P241"", ""status"": ""accepted""}"
user_AI_019,2024-05-01T09:35:00,proposal_close,"{""proposal_id"": ""P664"", ""status"": ""rejected""}"
user_AI_014,2024-05-01T17:05:00,proposal_close,"{""proposal_id"": ""P582"", ""status"": ""expired""}"
user_AI_034,2024-05-01T19:42:00,proposal_view,"{""proposal_id"": ""P782"", ""duration_seconds"": 215}"
user_AI_046,2024-05-02T07:36:00,proposal_view,"{""proposal_id"": ""P293"", ""duration_seconds"": 276}"
user_AI_044,2024-05-01T23:53:00,proposal_create,"{""proposal_id"": ""P166"", ""type"": ""loan"", ""value"": 91320}"
user_AI_044,2024-05-01T17:29:00,proposal_view,"{""proposal_id"": ""P484"", ""duration_seconds"": 176}"
user_AI_029,2024-05-02T00:14:00,proposal_view,"{""proposal_id"": ""P523"", ""duration_seconds"": 190}"
user_AI_017,2024-05-01T10:05:00,proposal_create,"{""proposal_id"": ""P430"", ""type"": ""loan"", ""value"": 13669}"
user_AI_050,2024-05-01T11:48:00,proposal_view,"{""proposal_id"": ""P305"", ""duration_seconds"": 86}"
user_AI_005,2024-05-01T14:56:00,proposal_close,"{""proposal_id"": ""P793"", ""status"": ""expired""}"
user_AI_025,2024-05-02T06:30:00,proposal_close,"{""proposal_id"": ""P259"", ""status"": ""accepted""}"
user_AI_040,2024-05-02T08:39:00,proposal_view,"{""proposal_id"": ""P635"", ""duration_seconds"": 262}"
user_AI_018,2024-05-01T16:55:00,proposal_view,"{""proposal_id"": ""P566"", ""duration_seconds"": 157}"
user_AI_035,2024-05-01T22:53:00,proposal_view,"{""proposal_id"": ""P175"", ""duration_seconds"": 68}"
user_AI_042,2024-05-02T04:07:00,proposal_close,"{""proposal_id"": ""P205"", ""status"": ""rejected""}"
user_AI_007,2024-05-02T08:57:00,proposal_create,"{""proposal_id"": ""P714"", ""type"": ""loan"", ""value"": 16031}"
user_AI_043,2024-05-01T11:23:00,proposal_close,"{""proposal_id"": ""P963"", ""status"": ""rejected""}"
user_AI_042,2024-05-01T16:18:00,proposal_view,"{""proposal_id"": ""P408"", ""duration_seconds"": 43}"
user_AI_044,2024-05-01T18:38:00,proposal_close,"{""proposal_id"": ""P469"", ""status"": ""rejected""}"
user_AI_042,2024-05-01T13:06:00,proposal_view,"{""proposal_id"": ""P446"", ""duration_seconds"": 182}"
user_AI_025,2024-05-02T02:47:00,proposal_create,"{""proposal_id"": ""P714"", ""type"": ""equity"", ""value"": 86368}"
user_AI_017,2024-05-01T09:09:00,proposal_view,"{""proposal_id"": ""P635"", ""duration_seconds"": 45}"
user_AI_001,2024-05-01T15:28:00,proposal_create,"{""proposal_id"": ""P770"", ""type"": ""equity"", ""value"": 51783}"
user_AI_042,2024-05-01T23:02:00,proposal_create,"{""proposal_id"": ""P290"", ""type"": ""loan"", ""value"": 28855}"
user_AI_012,2024-05-01T16:58:00,proposal_view,"{""proposal_id"": ""P804"", ""duration_seconds"": 251}"
user_AI_034,2024-05-01T14:07:00,proposal_create,"{""proposal_id"": ""P493"", ""type"": ""equity"", ""value"": 90125}"
user_AI_040,2024-05-02T04:38:00,proposal_create,"{""proposal_id"": ""P832"", ""type"": ""equity"", ""value"": 30975}"
user_AI_001,2024-05-02T02:11:00,proposal_view,"{""proposal_id"": ""P658"", ""duration_seconds"": 225}"
user_AI_030,2024-05-02T07:49:00,proposal_create,"{""proposal_id"": ""P279"", ""type"": ""loan"", ""value"": 48357}"
user_AI_009,2024-05-01T11:57:00,proposal_view,"{""proposal_id"": ""P969"", ""duration_seconds"": 226}"
user_AI_012,2024-05-02T05:14:00,proposal_create,"{""proposal_id"": ""P290"", ""type"": ""loan"", ""value"": 71454}"
user_AI_004,2024-05-01T10:07:00,proposal_view,"{""proposal_id"": ""P774"", ""duration_seconds"": 192}"
user_AI_046,2024-05-01T14:16:00,proposal_close,"{""proposal_id"": ""P820"", ""status"": ""accepted""}"
user_AI_014,2024-05-01T22:56:00,proposal_close,"{""proposal_id"": ""P808"", ""status"": ""accepted""}"
user_AI_022,2024-05-01T22:09:00,proposal_view,"{""proposal_id"": ""P100"", ""duration_seconds"": 116}"
user_AI_013,2024-05-01T13:00:00,proposal_close,"{""proposal_id"": ""P761"", ""status"": ""rejected""}"
user_AI_009,2024-05-01T10:49:00,proposal_view,"{""proposal_id"": ""P762"", ""duration_seconds"": 141}"
user_AI_039,2024-05-02T02:51:00,proposal_close,"{""proposal_id"": ""P148"", ""status"": ""rejected""}"
user_AI_039,2024-05-01T11:12:00,proposal_view,"{""proposal_id"": ""P792"", ""duration_seconds"": 104}"
user_AI_021,2024-05-02T07:17:00,proposal_create,"{""proposal_id"": ""P464"", ""type"": ""loan"", ""value"": 22452}"
user_AI_027,2024-05-01T21:41:00,proposal_create,"{""proposal_id"": ""P667"", ""type"": ""loan"", ""value"": 44379}"
